string	CharacterDialog[].string	CharacterDialog[].int	CharacterDialog[].LangText	CharacterDialog[].string	CharacterDialog[].float	CharacterDialog[].string	CharacterDialog[].int	CharacterDialog[].LangText	CharacterDialog[].string	CharacterDialog[].float	CharacterDialog[].string	CharacterDialog[].int	CharacterDialog[].LangText	CharacterDialog[].string	CharacterDialog[].float	CharacterDialog[].string	CharacterDialog[].int	CharacterDialog[].LangText	CharacterDialog[].string	CharacterDialog[].float	CharacterDialog[].string	CharacterDialog[].int	CharacterDialog[].LangText	CharacterDialog[].string	CharacterDialog[].float	string
PKEY1																										
场景Key	人物名字	人物头像	文本内容	语音	显示时间	人物名字	人物头像	文本内容	语音	显示时间	人物名字	人物头像	文本内容	语音	显示时间	人物名字	人物头像	文本内容	语音	显示时间	人物名字	人物头像	文本内容	语音	显示时间	视频路径
sceneKey	characterDialog.name	characterDialog.portraitID	characterDialog.content	characterDialog.soundName	characterDialog.time	characterDialog.name	characterDialog.portraitID	characterDialog.content	characterDialog.soundName	characterDialog.time	characterDialog.name	characterDialog.portraitID	characterDialog.content	characterDialog.soundName	characterDialog.time	characterDialog.name	characterDialog.portraitID	characterDialog.content	characterDialog.soundName	characterDialog.time	characterDialog.name	characterDialog.portraitID	characterDialog.content	characterDialog.soundName	characterDialog.time	videoPath
main	test																									
GKCS																										
TrainingDemo																										
Artkailuo	CIC		出战机师注意，	Play_Vox_NPC_Collie_Launch_01	2	CIC		你需要从三处EIC设施获取密钥，利用密钥解锁中央矿井。		4.5	CIC		率先完成解锁，或在设施关闭时处于领先地位，	Play_Vox_NPC_Collie_Launch_02	4	CIC		才能完成对区域的占领。		2.5	CIC		对密钥的争夺是拿下区域的关键，别被敌人的进攻打乱节奏。	Play_Vox_NPC_Collie_Launch_03	4.5	Vedio/Artkailuo.mp4
canyon																										
GarageTest																										
Zone3_island																										
Test3V3																										
3v3_test																										
IceBorne																										
GrandCanyonDemo																										
IceBorne_New																										
GKCS_DG																										
XDXtest																										
LYJ1V1																										
TestYu																										
PVPTest_New																										
YGMtest																										
TajMahalTest																										
IceField																										
Sortie																										
Loading																										
PS_Test																										
Test_3V3																										
Cyber3V3																										
GKCS_2																										
GKCS_HotSpot																										
GKCS_HotSpot_2																										
GKCS_Mine																										
GKCS_30er																										
Artkailuo_30er																										
TrainingDemo2																										
canyon2																										
GKCS_12er																										
Push3v3																										
Push3v3x2																										
TrainingSkillDemo																										
3V3Bounty																										
3V3OpenBox																										
DoublePush3v3																										
TeachingTest1																										
GKCS_Mine_12player																										
DoublePush6v6																										
Energy6v6																										
GKCS_3v3																										
swamp6v6																										
Marshmack																										
TrainingMap_Demo_NPC																										
DiePlayMode																										
3V3_City																										
StrongHold																										
CoreDefenceMode																										
ProSSMode																										
Art_Cairo	CIC		出战机师注意，	Play_Vox_NPC_Collie_Launch_01	2	CIC		你需要从三处EIC设施获取密钥，利用密钥解锁中央矿井。		4.5	CIC		率先完成解锁，或在设施关闭时处于领先地位，	Play_Vox_NPC_Collie_Launch_02	4	CIC		才能完成对区域的占领。		2.5	CIC		对密钥的争夺是拿下区域的关键，别被敌人的进攻打乱节奏。	Play_Vox_NPC_Collie_Launch_03	4.5	Vedio/Artkailuo.mp4
LongDistanceTrain																										
DiePlayMode2																										
CoreSettle																										
FallBattle																										
DecypherTrain																										
ShipyardMap																										
Scene_AI_Pressuretest_Old																										
Scene_AI_Pressuretest_New																										
Art_FallBattle																										
OneLineTowers																										
Fortress																										
ArtWeather	test																									
3v3Factory																										
LongDistanceTrain_4K																										
DoubleLongTrain																										
M4Teaching																										
M3Teaching																										
M1Teaching																										
Art_FallBattle_Test01																										
Art_FallBattle_Test02																										
Art_FallBattle_Test03																										
DiePlayMode1																										
Art_Cairo_RVT	CIC		出战机师注意，	Play_Vox_NPC_Collie_Launch_01	2	CIC		你需要从三处EIC设施获取密钥，利用密钥解锁中央矿井。		4.5	CIC		率先完成解锁，或在设施关闭时处于领先地位，	Play_Vox_NPC_Collie_Launch_02	4	CIC		才能完成对区域的占领。		2.5	CIC		对密钥的争夺是拿下区域的关键，别被敌人的进攻打乱节奏。	Play_Vox_NPC_Collie_Launch_03	4.5	Vedio/Artkailuo.mp4
3v3Mountain																										
Artkailuo_Test4																										
guide																										
mountain																										
Map_Canyou_New_All																										
ArtDune																										
3DHall																										
Zone5_yaosai																										
Artkailuo_Test																										
Artkailuo_Test2																										
3v3_BehaviorTreeTest																										
shancheng																										
Zone0_VR																										
performance																										
kailuo																										
main_new																										
Marshmack_str																										
Marshmack_all																										
Cyber3V3Test																										
Marshmack_test																										
