int	string	uint	uint	string	string
FUnique()					PKEY1
排行，按性能高到低排序	cpu型号	分数	多核分数		清洗后的cpu型号
Index	cpu_name	cpu_mark	thread_mark	cpu_type	cpu_detail_collected
1	Intel Core i9-13900KF	60123	4707	台式机	intel core i9-13900kf
2	Intel Core i9-13900K	59810	4688	台式机	intel core i9-13900k
3	Intel Core i7-13700KF	46925	4424	台式机	intel core i7-13700kf
4	Intel Core i7-13700K	47168	4409	台式机	intel core i7-13700k
5	Intel Core i9-12900KS	44606	4383	台式机	intel core i9-12900ks
6	Intel Core i7-13700	34431	4347	台式机	intel core i7-13700
7	AMD Ryzen 9 7900X	52062	4318	台式机	amd ryzen 9 7900x
8	AMD Ryzen 9 7950X	63509	4315	台式机	amd ryzen 9 7950x
9	AMD Ryzen 7 7700X	36451	4273	台式机	amd ryzen 7 7700x
10	Intel Core i9-12900K	41563	4209	台式机	intel core i9-12900k
11	AMD Ryzen 5 7600X	28717	4208	台式机	amd ryzen 5 7600x
12	Intel Core i9-12900KF	41534	4205	台式机	intel core i9-12900kf
13	Intel Core i5-13600K	38472	4195	台式机	intel core i5-13600k
14	Intel Core i5-13600KF	38251	4182	台式机	intel core i5-13600kf
15	Intel Core i9-12900F	37249	4085	台式机	intel core i9-12900f
16	Intel Core i9-12900	35283	4081	台式机	intel core i9-12900
17	Intel Core i7-12700K	34719	4061	台式机	intel core i7-12700k
18	Intel Core i7-12700KF	34548	4046	台式机	intel core i7-12700kf
19	Intel Core i5-13500	30650	4033	台式机	intel core i5-13500
20	Apple M2 8 Core 3500 MHz	15327	3999	台式机	apple m2 8 core 3500 mhz
21	Intel Core i5-12600K	27779	3977	台式机	intel core i5-12600k
22	Intel Core i9-12900HX	35265	3977	笔记本	intel core i9-12900hx
23	Intel Core i5-12600KF	27397	3955	台式机	intel core i5-12600kf
24	Intel Core i7-12700F	31333	3947	台式机	intel core i7-12700f
25	Intel Core i7-12700	31144	3941	台式机	intel core i7-12700
26	Intel Core i9-12900T	31400	3940	台式机	intel core i9-12900t
27	Intel Core i9-12900E	31530	3926	台式机	intel core i9-12900e
28	Intel Core i7-12800HX	34217	3891	笔记本	intel core i7-12800hx
29	Intel Core i9-12950HX	32511	3888	笔记本	intel core i9-12950hx
30	Apple M1 Ultra 20 Core	41010	3871	台式机	apple m1 ultra 20 core
31	Intel Core i5-13400	26355	3866	台式机	intel core i5-13400
32	Intel Core i9-12900H	28791	3860	笔记本	intel core i9-12900h
33	Intel Core i7-12700E	28292	3852	台式机	intel core i7-12700e
34	Apple M1 Max 10 Core 3200 MHz	22178	3848	台式机	apple m1 max 10 core 3200 mhz
35	Intel Core i5-12600	21389	3847	台式机	intel core i5-12600
36	Apple M1 Pro 10 Core 3200 MHz	21987	3829	台式机	apple m1 pro 10 core 3200 mhz
37	Apple M1 Pro 8 Core 3200 MHz	17240	3789	台式机	apple m1 pro 8 core 3200 mhz
38	Intel Core i7-12650H	24727	3772	笔记本	intel core i7-12650h
39	Intel Core i9-12900HK	28913	3754	笔记本	intel core i9-12900hk
40	Intel Core i5-12490F	20856	3743	台式机	intel core i5-12490f
41	Apple M1 8 Core 3200 MHz	14312	3735	台式机	apple m1 8 core 3200 mhz
42	Intel Core i7-12850HX	29309	3726	笔记本	intel core i7-12850hx
43	Intel Core i5-12500	20003	3710	台式机	intel core i5-12500
44	Intel Core i5-12600HX	23066	3710	笔记本	intel core i5-12600hx
45	Intel Core i7-12700TE	20712	3681	笔记本	intel core i7-12700te
46	Intel Core i7-12700H	26814	3665	笔记本	intel core i7-12700h
47	Intel Core i3-1210U	12130	3622	笔记本	intel core i3-1210u
48	Intel Core i7-1370P	25032	3609	笔记本	intel core i7-1370p
49	Intel Core i3-12300	14816	3608	台式机	intel core i3-12300
50	Intel Core i7-12700T	22155	3607	台式机	intel core i7-12700t
51	Intel Xeon W-1390P @ 3.50GHz	25451	3591	台式机	intel xeon w-1390p
52	Intel Core i5-12500T	17236	3577	台式机	intel core i5-12500t
53	Intel Core i5-12600H	22704	3568	笔记本	intel core i5-12600h
54	Intel Core i5-12500H	21844	3562	笔记本	intel core i5-12500h
55	Intel Core i5-12450H	18167	3561	笔记本	intel core i5-12450h
56	Intel Core i9-11900KF @ 3.50GHz	25368	3560	台式机	intel core i9-11900kf
57	Intel Xeon W-1350P @ 4.00GHz	20032	3557	台式机	intel xeon w-1350p
58	Intel Core i5-12400F	19735	3555	台式机	intel core i5-12400f
59	Intel Core i5-12400	19551	3544	台式机	intel core i5-12400
60	Intel Xeon W-1370 @ 2.90GHz	23908	3538	台式机	intel xeon w-1370
61	Intel Xeon W-1370P @ 3.60GHz	24961	3533	台式机	intel xeon w-1370p
62	Intel Core i7-12800H	24597	3532	笔记本	intel core i7-12800h
63	Intel Core i9-11900K @ 3.50GHz	25554	3530	台式机	intel core i9-11900k
64	Intel Core i3-1220P	15201	3517	笔记本	intel core i3-1220p
65	Intel Core i3-12100F	14347	3515	台式机	intel core i3-12100f
66	Intel Xeon E-2388G @ 3.20GHz	23815	3514	台式机	intel xeon e-2388g
67	AMD Ryzen 9 PRO 5945	34271	3495	台式机	amd ryzen 9 pro 5945
68	Intel Xeon W-1350 @ 3.30GHz	19107	3491	台式机	intel xeon w-1350
69	Intel Core i3-12100	13732	3482	台式机	intel core i3-12100
70	Intel Xeon E-2378G @ 2.80GHz	22755	3477	台式机	intel xeon e-2378g
71	AMD Ryzen 9 5900X	39283	3470	台式机	amd ryzen 9 5900x
72	Intel Core i7-1270P	17836	3470	笔记本	intel core i7-1270p
73	AMD Ryzen 9 5950X	45871	3465	台式机	amd ryzen 9 5950x
74	Intel Core i3-1215U	11599	3464	笔记本	intel core i3-1215u
75	Intel Core i5-12400T	16823	3452	台式机	intel core i5-12400t
76	Intel Core i9-11900F @ 2.50GHz	23005	3450	台式机	intel core i9-11900f
77	Intel Core i9-11900 @ 2.50GHz	22980	3449	台式机	intel core i9-11900
78	AMD Ryzen 7 5800X	28099	3446	台式机	amd ryzen 7 5800x
79	AMD Ryzen 9 5900	34568	3445	台式机	amd ryzen 9 5900
80	AMD Ryzen 5 PRO 5645	21762	3429	台式机	amd ryzen 5 pro 5645
81	AMD Ryzen 7 PRO 5845	26807	3427	台式机	amd ryzen 7 pro 5845
82	Intel Core i7-11700K @ 3.60GHz	24666	3425	台式机	intel core i7-11700k
83	Intel Core i5-1250P	18319	3420	笔记本	intel core i5-1250p
84	Intel Xeon W-1390 @ 2.80GHz	23902	3414	台式机	intel xeon w-1390
85	AMD Ryzen 9 PRO 6950HS	23705	3413	笔记本	amd ryzen 9 pro 6950hs
86	Intel Xeon E-2356G @ 3.20GHz	19183	3413	台式机	intel xeon e-2356g
87	AMD Ryzen 9 6900HX	24881	3409	笔记本	amd ryzen 9 6900hx
88	Intel Core i7-11700KF @ 3.60GHz	24103	3409	台式机	intel core i7-11700kf
89	Apple A14 Bionic	8524	3408	台式机	apple a14 bionic
90	AMD Ryzen 7 5800	25946	3399	台式机	amd ryzen 7 5800
91	Intel Core i3-12100T	12753	3396	台式机	intel core i3-12100t
92	Intel Core i7-1265U	13663	3386	笔记本	intel core i7-1265u
93	Intel Core i5-12500TE	16584	3385	笔记本	intel core i5-12500te
94	Intel Xeon E-2336 @ 2.90GHz	16965	3374	台式机	intel xeon e-2336
95	Intel Core i7-11700B @ 3.20GHz	22577	3371	台式机	intel core i7-11700b
96	Intel Core i5-11600K @ 3.90GHz	19761	3370	台式机	intel core i5-11600k
97	AMD Ryzen 7 5700X	26672	3364	台式机	amd ryzen 7 5700x
98	AMD Ryzen 9 6900HS Creator Edition	22767	3362	笔记本	amd ryzen 9 6900hs creator edition
99	Intel Core i5-11600KF @ 3.90GHz	19719	3361	台式机	intel core i5-11600kf
100	Intel Core i7-1255U	13720	3361	笔记本	intel core i7-1255u
101	AMD Ryzen 5 5600X	21943	3356	台式机	amd ryzen 5 5600x
102	AMD Ryzen 7 5700GE	22484	3356	台式机	amd ryzen 7 5700ge
103	Intel Core i9-11900KB @ 3.30GHz	23204	3354	台式机	intel core i9-11900kb
104	Intel Xeon W-11955M @ 2.60GHz	23233	3354	笔记本	intel xeon w-11955m
105	AMD Ryzen Threadripper PRO 5965WX	67388	3350	台式机	amd ryzen threadripper pro 5965wx
106	Intel Core i7-1280P	20455	3349	笔记本	intel core i7-1280p
107	AMD Ryzen 9 5980HX	23588	3347	笔记本	amd ryzen 9 5980hx
108	Intel Xeon E-2374G @ 3.70GHz	13860	3347	台式机	intel xeon e-2374g
109	AMD Ryzen Threadripper PRO 5955WX	49467	3342	台式机	amd ryzen threadripper pro 5955wx
110	AMD Ryzen 9 6900HS	24026	3338	笔记本	amd ryzen 9 6900hs
111	AMD Ryzen Threadripper PRO 5945WX	40784	3336	台式机	amd ryzen threadripper pro 5945wx
112	Intel Core i3-12100TE	12961	3334	笔记本	intel core i3-12100te
113	Intel Core i7-11700F @ 2.50GHz	21208	3330	台式机	intel core i7-11700f
114	Intel Core i5-12600T	17147	3327	台式机	intel core i5-12600t
115	AMD Ryzen 9 PRO 6950H	23967	3322	笔记本	amd ryzen 9 pro 6950h
116	Intel Core i9-11900T @ 1.50GHz	18341	3320	台式机	intel core i9-11900t
117	AMD Ryzen 5 PRO 6650H	20103	3318	笔记本	amd ryzen 5 pro 6650h
118	Intel Xeon E-2386G @ 3.50GHz	19339	3318	台式机	intel xeon e-2386g
119	AMD Ryzen 7 PRO 5750G	24637	3317	台式机	amd ryzen 7 pro 5750g
120	Intel Core i5-1235U	13626	3317	笔记本	intel core i5-1235u
121	Intel Core i9-11980HK @ 2.60GHz	23341	3317	笔记本	intel core i9-11980hk
122	AMD Ryzen 9 5900H	20960	3312	笔记本	amd ryzen 9 5900h
123	Intel Xeon W-11865MRE @ 2.60GHz	23702	3310	台式机	intel xeon w-11865mre
124	AMD Ryzen Threadripper PRO 5975WX	76397	3308	台式机	amd ryzen threadripper pro 5975wx
125	AMD Ryzen 7 PRO 5750GE	22219	3307	台式机	amd ryzen 7 pro 5750ge
126	AMD Ryzen 7 6800HS Creator Edition	22968	3299	笔记本	amd ryzen 7 6800hs creator edition
127	Intel Core i5-11600 @ 2.80GHz	18182	3295	台式机	intel core i5-11600
128	Intel Core i7-1260P	17058	3294	笔记本	intel core i7-1260p
129	Intel Xeon E-2378 @ 2.60GHz	17959	3293	台式机	intel xeon e-2378
130	AMD Ryzen 7 PRO 6850U	21216	3289	笔记本	amd ryzen 7 pro 6850u
131	AMD Ryzen 7 5700	23586	3288	台式机	amd ryzen 7 5700
132	AMD Ryzen 7 5700G	24592	3279	台式机	amd ryzen 7 5700g
133	Intel Xeon W-11855M @ 3.20GHz	18365	3279	笔记本	intel xeon w-11855m
134	AMD Ryzen 9 5900HS Creator Edition	22125	3277	台式机	amd ryzen 9 5900hs creator edition
135	Intel Xeon E-2324G @ 3.10GHz	11102	3275	台式机	intel xeon e-2324g
136	AMD Ryzen 7 6800H	23821	3275	笔记本	amd ryzen 7 6800h
137	AMD Ryzen Threadripper PRO 5995WX	98390	3269	台式机	amd ryzen threadripper pro 5995wx
138	Intel Core i5-1240P	17389	3261	笔记本	intel core i5-1240p
139	AMD Ryzen 5 6600HS Creator Edition	19300	3259	笔记本	amd ryzen 5 6600hs creator edition
140	AMD Ryzen 7 PRO 6860Z	21543	3254	笔记本	amd ryzen 7 pro 6860z
141	Intel Core i9-11950H @ 2.60GHz	22003	3253	笔记本	intel core i9-11950h
142	AMD Ryzen 5 5600	21549	3246	台式机	amd ryzen 5 5600
143	Intel Xeon E-2334 @ 3.40GHz	13189	3244	台式机	intel xeon e-2334
144	AMD Ryzen 7 PRO 6850HS	20606	3237	笔记本	amd ryzen 7 pro 6850hs
145	Intel Core i5-11500B @ 3.30GHz	17801	3231	台式机	intel core i5-11500b
146	AMD Ryzen 5 7530U	17537	3230	笔记本	amd ryzen 5 7530u
147	AMD Ryzen 7 PRO 6850H	22990	3227	笔记本	amd ryzen 7 pro 6850h
148	Intel Core i5-1240U	14323	3224	笔记本	intel core i5-1240u
149	AMD Ryzen 5 5600GE	18879	3224	台式机	amd ryzen 5 5600ge
